cnpj_fornecedor;nome_fornecedor;cod_produto_xml;descricao_produto_xml;id_sistema_sugerido;descricao_sistema_sugerida;CONFIRMAR_ID_SISTEMA
2884314000120;RAFAEL & DANTAS LTDA;13350;BALAO SAO ROQUE 7 LISO AMARELO CITRIN;1013732;BALAO SAO ROQUE 7 LISO VERMELHO FOGO;1013732
2884314000120;RAFAEL & DANTAS LTDA;13349;BALAO SAO ROQUE 7 LISO ROSA TUTI FRUT;1013732;BALAO SAO ROQUE 7 LISO VERMELHO FOGO;1013732
2884314000120;RAFAEL & DANTAS LTDA;53415;BALAO SAO ROQUE 7 LISO RUBI;1013732;BALAO SAO ROQUE 7 LISO VERMELHO FOGO;1013732
2884314000120;RAFAEL & DANTAS LTDA;3327;MASSA DE MODELAR KOALA 12 CORES REF 2634;;;
2884314000120;RAFAEL & DANTAS LTDA;52483;FITA ADELBRAS 12X10 QUALI CLEAR TRANSP;;;
2884314000120;RAFAEL & DANTAS LTDA;309;CARTOLINA LAMINADA CROMUS PRATA 20F;;;
2884314000120;RAFAEL & DANTAS LTDA;306;CARTOLINA LAMINADA CROMUS DOURADO 20F;;;
2884314000120;RAFAEL & DANTAS LTDA;46708;PAPEL USAPEL 180G 30F PER ROSA 25056;;;
2884314000120;RAFAEL & DANTAS LTDA;30986;PASTA DAC SANF 12 DIV P.CH ECO 6080PP FM;;;
2884314000120;RAFAEL & DANTAS LTDA;32247;PASTA DAC SANF 12 DIV P.CH ECO 6080PP AZ;;;
2884314000120;RAFAEL & DANTAS LTDA;22364;GRAMPO ACC DUBLIN 26/6 C/5000 RED COBREA;;;
2884314000120;RAFAEL & DANTAS LTDA;107;GRAMPO ACC ROCAMA 106/4 CX/5000 UN;1023220;GRAMPO ACC ROCAMA 106/8 CX 2500UND;1023220
2884314000120;RAFAEL & DANTAS LTDA;24897;MARCADOR P/QUADRO BCO COMPACTOR AZUL;;;
2884314000120;RAFAEL & DANTAS LTDA;11979;MARCADOR P/QUADRO BCO PILOT WBMA-VBM AZ;;;
2884314000120;RAFAEL & DANTAS LTDA;11977;MARCADOR P/QUADRO BCO PILOT WBMA-VBM VEM;;;
2884314000120;RAFAEL & DANTAS LTDA;24898;MARCADOR P/QUADRO BCO COMPACTOR PRETO;;;
