chave;data_emissao;cProd;xProd;uCom;qCom;vUnCom;vProd;ncm;cfop;cst;orig;cnpj_emitente;xNome_emitente
23250102884314000120550010005876451345250450;2025-01-02T17:42:00-03:00;35216;AREIA BROCAL LANTECOR 100G PINK 130;UN;1;7.71;7.71;39204390;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005876451345250450;2025-01-02T17:42:00-03:00;49285;AREIA BROCAL LANTECOR 100G COLORIDO;UN;4;7.71;30.84;39204390;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005876451345250450;2025-01-02T17:42:00-03:00;35219;AREIA BROCAL LANTECOR 100G VD BAND 140;UN;2;7.71;15.42;39204390;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005876451345250450;2025-01-02T17:42:00-03:00;35206;AREIA BROCAL LANTECOR 100G VERMELHA 110;UN;1;7.71;7.71;39204390;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005876451345250450;2025-01-02T17:42:00-03:00;44428;GLITER PVC REAL 50G AZ ESC 0521;UN;3;7.23;21.69;39202090;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005876451345250450;2025-01-02T17:42:00-03:00;44438;GLITER PVC REAL 50G ROSA 0860;UN;2;7.23;14.46;39202090;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005876451345250450;2025-01-02T17:42:00-03:00;44430;GLITER PVC REAL 50G BRANCO 0522;UN;1;8.63;8.63;39202090;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005876451345250450;2025-01-02T17:42:00-03:00;44441;GLITER PVC REAL 50G VERMELHO 0527;UN;1;7.23;7.23;39202090;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005876451345250450;2025-01-02T17:42:00-03:00;44439;GLITER PVC REAL 50G ROXO 0912;UN;1;7.23;7.23;39202090;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005876451345250450;2025-01-02T17:42:00-03:00;24853;FITA DUREX 3M 12X30 TRANSP. ACRILICA;UN;30;2.49;74.7;39191010;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
