key;cEAN;cProd;xProd;maxPrice
7896193246614;7896193246614;54717;FITA ADERE 45X50 KRAFT SCK326;12.43
54780;;54780;FITA EURO DUPLA FACE 18X30 DPF740;7.53
3109;;3109;BINGO LUGO C/SORTEIO AUTOMATICO 022BG;26.99
7899021321118;7899021321118;7162;TAPETE IBEL ALFABETICO 30X30X05 26PCS;91.46
7891040130979;7891040130979;17690;FITA 3M SCOTCH 3777 38X10;10.53
7896640452667;7896640452667;4941;ABC XALINGO C/72 PECAS 5266-5;26.35
7898411041063;7898411041063;17891;PALITO PICOLE COMUM C/30;3.35
7898946757576;7898946757576;39225;ESPETO P/CHURRASCO TALGE C/50;2.89
7896243116430;7896243116430;28909;BALAO SAO ROQUE NR.07 C/50UN CINT.DOUR;9.636
7896243104383;7896243104383;13351;BALAO SAO ROQUE 7 LISO LARANJA MANDAR;8.52
7896243104345;7896243104345;13348;BALAO SAO ROQUE 7 LISO AZUL COBALTO;8.52
7896243104529;7896243104529;19091;BALAO SAO ROQUE 7 LISO IMPER SORTIDO;8.52
7896243104420;7896243104420;102010;BALAO SAO ROQUE 07 AMAREL CITRINO C/50UN;8.92
7896243104413;7896243104413;13349;BALAO SAO ROQUE 7 LISO ROSA TUTI FRUT;7.56
7896243120345;7896243120345;53415;BALAO SAO ROQUE 7 LISO RUBI;7.56
7897464700651;7897464700651;15760;MASSA MODELAR 12 CORES 120GRS DELTA;3.52
7896603803604;7896603803604;22753;FITA DUREX ADELBRAS PP 12 X 10 PEQUENA;0.5544
7897780041834;7897780041834;3726;CARTOLINA LAMINADA 49X59 20 FLS PRATA;38.544
7897780041841;7897780041841;15221;CARTOLINA LAMINADA CROMUS DOURADO C/20FL;35.11
7891634250564;7891634250564;46708;PAPEL USAPEL 180G 30F PER ROSA 25056;30.57
7897237361362;7897237361362;30986;PASTA DAC SANF 12 DIV P.CH ECO 6080PP FM;14.96
32247;;32247;PASTA DAC SANF 12 DIV P.CH ECO 6080PP AZ;14.96
7896303606017;7896303606017;22364;GRAMPO ACC DUBLIN 26/6 C/5000 RED COBREA;6.89
7896303600633;7896303600633;107;GRAMPO ACC ROCAMA 106/4 CX/5000 UN;18.24
7896572021603;7896572021603;24897;MARCADOR P/QUADRO BCO COMPACTOR AZUL;5.02
4902505368882;4902505368882;11979;MARCADOR P/QUADRO BCO PILOT WBMA-VBM AZ;11.65
4902505368875;4902505368875;11977;MARCADOR P/QUADRO BCO PILOT WBMA-VBM VEM;10.87
7896572021610;7896572021610;24898;MARCADOR P/QUADRO BCO COMPACTOR PRETO;5.02
7896572021627;7896572021627;27133;MARCADOR P/QUADRO BCO COMPACTOR VERMELHO;5.02
7897424081387;7897424081387;3302;MARCADOR P/QUADRO BCO PILOT WBM-7 AZUL;7.32
7897254172149;7897254172149;475;APAGADOR P/QUADRO BRANCO SUPER RADEX;4.7
4902505368868;4902505368868;11978;MARCADOR P/QUADRO BCO PILOT WBMA-VBM PRE;10.87
7891153029009;7891153029009;7826;COLA GLITER ACRILEX 35G 2912 201 OURO;3.91
7897424080854;7897424080854;3313;MARCADOR RETRO-PROJ 2MM PILOT AZUL;4.21
70330129627;70330129627;18080;CANETA BIC CRISTAL AZUL C/50 971245;0.68
7896326980361;7896326980361;99476;BORRACHA CIS DADINHOS               24UN;57.54
70330521872;70330521872;38032;CANETA BIC CRISTAL UP 1.2 SORT 930008;1.19
7897424080878;7897424080878;3314;MARCADOR RETRO-PROJ 2MM PILOT PRETO;4.21
7897424081943;7897424081943;8505;CANETA MARCADOR CD PILOT 2.0 PRETA;4.312
10825;;10825;FITA EURO 45X45 PP33 TRANSPARENTE;3.63
7891191001098;7891191001098;3611;PAPEL REPORT SENINHA A4 100F BRANCO;5.62
7891360609186;7891360609186;OF/7024N;BOR. P/ GRAF. CINTA PLAST.OFFICE PEQUENA (1 X 24) 7891360609186;47.05
7896644716000;7896644716000;24025;PASTA POLIBRAS C/FERRAG SOFT AZ 8160609;1.54
7891360609179;7891360609179;7024FLVN;BORRACHA PARA GRAFITES C/ CINTA PLASTICA (1 X 24) 7891360609179;47.05
7899021344513;7899021344513;27586;BORRACHA EVA IBEL 40X95 ABER C/10 AMAREL;33.68
7899021344568;7899021344568;27591;BORRACHA EVA IBEL 40X95 ABER C/10 VERMEL;33.68
7899021344704;7899021344704;27594;BORRACHA EVA IBEL 40X95 ABER C/10 PRETO;36.4
7897424081967;7897424081967;8506;CANETA MARCADOR CD PILOT 2.0 VERMELHA;4.312
70330198746;70330198746;35782;CANETA BIC CRISTAL FINA VM C/100 902453;0.56
7897424080892;7897424080892;278;CANETA RETROPROJETOR PILOT 2.0 VERMELHA;3.74
33701;;33701;CANETA BIC CRISTAL FINA AZ C/100 902452;0.56
7897424081929;7897424081929;3307;MARCADOR PERMAN CD/DVD PILOT 2M AZUL;4.09
3300;;3300;MARCADOR P/QUADRO BCO PILOT WBM-7 PRETO;7.32
7897424081417;7897424081417;1173;MARCADOR QUADRO BRANCO REC.WBM-7 VERMEL;7.2666
7896572012847;7896572012847;5010;CANETA COMPAC 0.7 AZUL             100UN;62.88
7891153032030;7891153032030;37462;TINTA PLAST.ARTESANATO 250ML BRANCO;20.46
7891153032047;7891153032047;3925;TINTA ACRILEX PVA 250M 3225 520 PRETO;18.92
7891153041056;7891153041056;7575;TINTA ACRILEX TEC 250ML 4125 505 AM OURO;19.8
7891153041131;7891153041131;7574;TINTA ACRILEX TEC 250ML 4125 520 PRETO;19.8
7891153041124;7891153041124;7533;TINTA ACRILEX TEC 250ML 4125 519 BCO;19.8
7891153041032;7891153041032;7546;TINTA ACRILEX TEC 250ML 4125 503 AZ CELE;19.8
7897254103037;7897254103037;8644;TINTA REABAST. RADEX 20ML Q.BRANCO VM;3.1
7897254103013;7897254103013;8643;TINTA REABAST. RADEX 20ML Q.BRANCO AZ;3.1
7897254103051;7897254103051;8642;TINTA REABAST. RADEX 20ML Q.BRANCO PT;3.26
4713195109309;4713195109309;3906;PASTA YES C/CANALETA C310 A4 CRISTAL;3
7898119186103;7898119186103;37939;PAPEL FOTO ADESIVO 130GRS A-4 C/50FLS;32.83
7898119105784;7898119105784;44527;APAGADOR MASTER P/ QUAD BCO C/IMA MP3100;3.67
7891153000664;7891153000664;3921;TINTA ACRILEX PVA 250M 3225 510 VD FOLHA;18.92
9900003234505;9900003234505;AVARM.0002;CHAPA DE ACRILICO CRISTAL AVARIA ACX 000 1m x 1m x 2,4mm;201.6
9900003232600;9900003232600;AVAR.9670;CHAPA DE ACRILICO PRETO AVARIA ACX 1000 2m x 1m x 2,4mm;263.78
9900003235304;9900003235304;AVARM.0028;CHAPA DE ACRILICO BRANCO AVARIA ACX 1900 1m x 1m x 2,4mm;214.2
3333;;3333;ADITIVO PROTETOR RADIADOR 1LT 0003333;25.56
4209;;4209;ADITIVO PROTETOR RADIADOR 4LT 0004209;92.13
1448;;1448;ANEL ORING PORTA INJETOR MOTOR 0001448;4.76
3181;;3181;ANEL ORING PORTA INJETOR MOTOR 0003181;4.21
121;;121;ARRUELA BICO INJETOR MOTOR 0000121;6
825;;825;BALANCIM ADMISSAO MOTOR 0000825;472.08
4539;;4539;BALANCIM ESCAPE MOTOR 0004539;487.48
1371;;1371;JUNTA TAMPA CX DISTRIBUICAO 0001371;150.33
397;;397;OLEO MOTOR SAE 15W40 API CI4 XV200 20LT 0000397;381.3
1855;;1855;TAMPA VALVULA MOTOR 0001855;2666.46
7896009721014;7896009721014;7056;PILHA ALCALINA MD CART C/2 UND CAR 2 UND;27.18
7896009761928;7896009761928;7136;PILHA AMARELINHA PALITO AAA TB 40 PILHAS TUBO 40 UND;40.82
7896009765148;7896009765148;7270;PILHA ALCALINA PAL AAA CART C/4 LV4 PG3 CAR 4 UND;15.07
709;;709;FELTRO PARA PRATOS - EVA PINK;2.36
29841;;29841;CORDAO PUNHO REDE MEDIO 4/2 - BRANCO;42.4
14105;;14105;CHAPA PVC EXPANDIDO BRANCA IMP 122X244MM *2MM;85
784;;784;FGO - COXA C/SOBRE RICO IND CX 20KG;10.9
2506;;2506;BOV - BIFE DO VAZIO QUALITY BEEF PECAS CX +-25 KG;35.2
75;;75;FGO - FILE DE PEITO RICO CX 20 KG;20.5
792;;792;LING TOSC SUINA AURORA 5 KG CX 25 KG;19.2
405;;405;LING CALABRESA REZENDE TRAD 6 X 2,50KG CX 15KG;21.5
403;;403;SUI - COPA LOMBO SOBREPALETA SADIA CX 15KG;23.39
2814;;2814;FGO - PEITO BONASA IND CX 18KG;14.59
52129295;;52129295;RADIADOR (AUT.) - SPIN/COB/ONIX/PRIS;3105.26
14557;;14557;KIT PAPEL SUB PREMIUM 064 1,10X150 2";264
7899555687339;7899555687339;60008;***GARRAFA TERMICA GT COLORS 750ML RSA CL 3;110
7899555688220;7899555688220;63135;***GARRAFA TERMICA GT COLORS 750ML RSA ES 3;110
7899555687377;7899555687377;60047;***GARRAFA TERMICA GT COLORS 750ML AZ ES 3;110
7899555688169;7899555688169;63127;***GARRAFA TERMICA GT COLORS 750ML LILAS 3;110
7899555688152;7899555688152;63126;***GARRAFA TERMICA GT COLORS 750ML VD CL 3;110
